                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58755,                0.84404,                      1,                0.50879,             0.00023628,             0.00023628,             0.00023628
                      2,                0.30092,                0.94495,                      1,                0.37909,             0.00046488,             0.00046488,             0.00046488
                      3,                0.19099,                0.94495,                      1,                0.39423,             0.00068407,             0.00068407,             0.00068407
                      4,                0.15271,                 0.9633,                      1,                0.35895,             0.00067159,             0.00067159,             0.00067159
                      5,                0.12326,                0.97248,                      1,                0.37531,             0.00065745,             0.00065745,             0.00065745
                      6,                0.12143,                 0.9633,                      1,                0.35461,             0.00064331,             0.00064331,             0.00064331
                      7,                 0.0961,                 0.9633,                      1,                0.34387,             0.00062918,             0.00062918,             0.00062918
                      8,                0.10405,                0.98165,                      1,                 0.3468,             0.00061504,             0.00061504,             0.00061504
                      9,                0.08461,                0.98165,                      1,                0.33844,              0.0006009,              0.0006009,              0.0006009
                     10,                0.10135,                0.97248,                      1,                0.34192,             0.00058677,             0.00058677,             0.00058677
                     11,                0.05929,                0.98165,                      1,                0.34601,             0.00057263,             0.00057263,             0.00057263
                     12,                0.06341,                0.99083,                      1,                0.33496,             0.00055849,             0.00055849,             0.00055849
                     13,                  0.061,                0.98165,                      1,                0.33862,             0.00054435,             0.00054435,             0.00054435
                     14,                0.05425,                0.98165,                      1,                0.34351,             0.00053022,             0.00053022,             0.00053022
                     15,                0.06163,                0.97248,                      1,                0.35785,             0.00051608,             0.00051608,             0.00051608
                     16,                0.07929,                0.97248,                      1,                0.33838,             0.00050194,             0.00050194,             0.00050194
                     17,                 0.0535,                0.98165,                      1,                0.33752,              0.0004878,              0.0004878,              0.0004878
                     18,                0.06805,                0.98165,                      1,                0.33563,             0.00047367,             0.00047367,             0.00047367
                     19,                0.04718,                0.97248,                      1,                0.33435,             0.00045953,             0.00045953,             0.00045953
                     20,                0.04849,                0.97248,                      1,                0.33826,             0.00044539,             0.00044539,             0.00044539
                     21,                0.04718,                0.97248,                      1,                0.33563,             0.00043126,             0.00043126,             0.00043126
                     22,                0.03303,                 0.9633,                      1,                0.34167,             0.00041712,             0.00041712,             0.00041712
                     23,                0.04227,                0.98165,                      1,                0.33429,             0.00040298,             0.00040298,             0.00040298
                     24,                0.04039,                0.97248,                      1,                0.34113,             0.00038884,             0.00038884,             0.00038884
                     25,                0.04771,                0.99083,                      1,                0.33344,             0.00037471,             0.00037471,             0.00037471
                     26,                0.03341,                0.97248,                      1,                0.33453,             0.00036057,             0.00036057,             0.00036057
                     27,                0.03243,                0.98165,                      1,                0.33142,             0.00034643,             0.00034643,             0.00034643
                     28,                0.02898,                0.98165,                      1,                0.34406,              0.0003323,              0.0003323,              0.0003323
                     29,                0.04611,                0.97248,                      1,                0.34387,             0.00031816,             0.00031816,             0.00031816
                     30,                0.03665,                0.97248,                      1,                0.33716,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.0276,                0.98165,                      1,                 0.3338,             0.00028988,             0.00028988,             0.00028988
                     32,                 0.0205,                0.97248,                      1,                0.33435,             0.00027575,             0.00027575,             0.00027575
                     33,                0.02552,                0.98165,                      1,                0.33618,             0.00026161,             0.00026161,             0.00026161
                     34,                0.02472,                0.97248,                      1,                0.34631,             0.00024747,             0.00024747,             0.00024747
                     35,                 0.0217,                0.97248,                      1,                0.33698,             0.00023334,             0.00023334,             0.00023334
                     36,                0.01819,                0.97248,                      1,                0.33356,              0.0002192,              0.0002192,              0.0002192
                     37,                0.02118,                0.98165,                      1,                0.33673,             0.00020506,             0.00020506,             0.00020506
                     38,                0.01935,                0.98165,                      1,                0.33533,             0.00019092,             0.00019092,             0.00019092
                     39,                0.01865,                0.97248,                      1,                0.33978,             0.00017679,             0.00017679,             0.00017679
                     40,                0.01869,                0.97248,                      1,                0.34491,             0.00016265,             0.00016265,             0.00016265
                     41,                0.02237,                0.97248,                      1,                0.34967,             0.00014851,             0.00014851,             0.00014851
                     42,                0.01482,                0.97248,                      1,                0.33624,             0.00013437,             0.00013437,             0.00013437
                     43,                0.01519,                0.97248,                      1,                0.33496,             0.00012024,             0.00012024,             0.00012024
                     44,                0.01772,                0.97248,                      1,                0.33575,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01342,                0.97248,                      1,                0.34442,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.01853,                0.98165,                      1,                0.34369,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.01108,                0.97248,                      1,                0.34125,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.01022,                 0.9633,                      1,                0.33514,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.01308,                 0.9633,                      1,                0.33594,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.01341,                0.97248,                      1,                0.33514,             2.1277e-05,             2.1277e-05,             2.1277e-05
